DATE,CSUSHPISA,Year,Month,GDP,Num_Vacant_House,Income,MORTGAGE30US,GDP Growth rate,Construstion material cost
2007-07-01,179.111,2007,7,14564.117,18049.0,67445.0,6.22,4.6,184.2
2007-08-01,178.116,2007,8,14614.430666666667,18002.666666666668,67250.83333333333,6.2299999999999995,4.466666666666667,183.9
2007-09-01,177.558,2007,9,14664.744333333334,17956.333333333332,67056.66666666667,6.24,4.333333333333333,183.4
2007-10-01,176.624,2007,10,14715.058,17910.0,66862.5,6.25,4.2,183.0
2007-11-01,175.147,2007,11,14712.218,18154.0,66668.33333333333,6.26,2.7333333333333334,183.3
2007-12-01,174.342,2007,12,14709.378,18398.0,66474.16666666667,6.226666666666667,1.2666666666666666,183.5
2008-01-01,173.132,2008,1,14706.538,18642.0,66280.0,6.193333333333333,-0.2,184.3
2008-02-01,171.541,2008,2,14759.592333333334,18661.666666666668,66244.16666666667,6.16,1.3333333333333335,185.7
2008-03-01,170.053,2008,3,14812.646666666666,18681.333333333332,66208.33333333333,6.126666666666666,2.8666666666666667,187.8
2008-04-01,168.338,2008,4,14865.701,18701.0,66172.5,6.093333333333333,4.4,190.9
2008-05-01,166.659,2008,5,14876.800333333333,18684.333333333332,66136.66666666667,6.06,3.2333333333333334,195.8
2008-06-01,165.017,2008,6,14887.899666666666,18667.666666666668,66100.83333333333,5.9941176470588236,2.066666666666667,200.4
2008-07-01,163.566,2008,7,14898.999,18651.0,66065.0,5.928235294117647,0.9,203.4
2008-08-01,161.987,2008,8,14802.069,18758.333333333332,66029.16666666667,5.8623529411764705,-1.9333333333333336,206.5
2008-09-01,160.308,2008,9,14705.139000000001,18865.666666666668,65993.33333333333,5.796470588235294,-4.766666666666667,206.3
2008-10-01,158.327,2008,10,14608.209,18973.0,65957.5,5.7305882352941175,-7.6,201.8
2008-11-01,156.142,2008,11,14549.106666666667,19027.666666666668,65921.66666666667,5.6647058823529415,-6.666666666666666,199.6
2008-12-01,153.619,2008,12,14490.004333333334,19082.333333333332,65885.83333333333,5.5988235294117645,-5.733333333333333,194.8
2009-01-01,151.507,2009,1,14430.902,19137.0,65850.0,5.5329411764705885,-4.8,193.3
2009-02-01,150.015,2009,2,14414.346666666666,19008.666666666668,65720.83333333333,5.4670588235294115,-3.6666666666666665,191.2
2009-03-01,148.66,2009,3,14397.791333333334,18880.333333333332,65591.66666666667,5.4011764705882355,-2.533333333333333,190.2
2009-04-01,147.949,2009,4,14381.236,18752.0,65462.5,5.335294117647059,-1.4,188.1
2009-05-01,147.694,2009,5,14403.784666666666,18833.333333333332,65333.333333333336,5.2694117647058825,-0.30000000000000004,186.9
2009-06-01,148.09,2009,6,14426.333333333334,18914.666666666668,65204.166666666664,5.203529411764706,0.7999999999999998,187.1
2009-07-01,148.41,2009,7,14448.882,18996.0,65075.0,5.1376470588235295,1.9,187.6
2009-08-01,148.278,2009,8,14516.337666666666,18999.333333333332,64945.833333333336,5.071764705882353,3.166666666666667,188.1
2009-09-01,148.025,2009,9,14583.793333333333,19002.666666666668,64816.666666666664,5.0058823529411764,4.433333333333334,189.3
2009-10-01,147.85,2009,10,14651.249,19006.0,64687.5,4.94,5.7,189.7
2009-11-01,148.134,2009,11,14689.036,19046.0,64558.333333333336,4.963333333333334,4.833333333333334,189.2
2009-12-01,147.929,2009,12,14726.823,19086.0,64429.166666666664,4.986666666666667,3.966666666666667,189.4
2010-01-01,147.396,2010,1,14764.61,19126.0,64300.0,5.01,3.1,190.3
2010-02-01,145.631,2010,2,14836.471,19091.333333333332,64220.833333333336,5.033333333333333,4.066666666666666,192.2
2010-03-01,145.859,2010,3,14908.332,19056.666666666668,64141.666666666664,5.056666666666667,5.033333333333333,193.7
2010-04-01,146.403,2010,4,14980.193,19022.0,64062.5,5.08,6.0,196.5
2010-05-01,146.394,2010,5,15033.997666666666,18992.333333333332,63983.333333333336,4.913333333333333,5.466666666666667,198.9
2010-06-01,145.721,2010,6,15087.802333333333,18962.666666666668,63904.166666666664,4.746666666666667,4.933333333333334,197.2
2010-07-01,144.991,2010,7,15141.607,18933.0,63825.0,4.58,4.4,195.6
2010-08-01,143.916,2010,8,15197.562666666667,18805.666666666668,63745.833333333336,4.554285714285714,4.433333333333334,194.1
2010-09-01,143.019,2010,9,15253.518333333333,18678.333333333332,63666.666666666664,4.5285714285714285,4.466666666666667,193.9
2010-10-01,142.531,2010,10,15309.474,18551.0,63587.5,4.502857142857143,4.5,193.8
2010-11-01,142.173,2010,11,15323.465333333334,18700.0,63508.333333333336,4.477142857142857,3.3666666666666667,193.6
2010-12-01,142.06,2010,12,15337.456666666667,18849.0,63429.166666666664,4.451428571428571,2.2333333333333334,194.2
2011-01-01,141.521,2011,1,15351.448,18998.0,63350.0,4.425714285714285,1.1,195.9
2011-02-01,140.35,2011,2,15420.145,18946.333333333332,63350.0,4.4,2.566666666666667,198.1
2011-03-01,139.981,2011,3,15488.842,18894.666666666668,63350.0,4.3742857142857146,4.033333333333333,199.7
2011-04-01,140.01,2011,4,15557.539,18843.0,63350.0,4.348571428571429,5.5,201.1
2011-05-01,139.905,2011,5,15587.586000000001,18829.666666666668,63350.0,4.322857142857143,4.433333333333334,201.6
2011-06-01,139.862,2011,6,15617.633,18816.333333333332,63350.0,4.297142857142857,3.3666666666666667,201.9
2011-07-01,139.73,2011,7,15647.68,18803.0,63350.0,4.271428571428571,2.3,202.6
2011-08-01,139.309,2011,8,15712.539666666667,18665.0,63350.0,4.2457142857142856,3.233333333333333,202.8
2011-09-01,138.668,2011,9,15777.399333333333,18527.0,63350.0,4.22,4.166666666666666,202.7
2011-10-01,137.952,2011,10,15842.259,18389.0,63350.0,4.1466666666666665,5.1,202.7
2011-11-01,137.152,2011,11,15917.774333333333,18418.0,63350.0,4.073333333333333,5.333333333333333,202.2
2011-12-01,136.674,2011,12,15993.289666666667,18447.0,63350.0,4.0,5.566666666666666,202.2
2012-01-01,136.607,2012,1,16068.805,18476.0,63350.0,3.966666666666667,5.8,203.9
2012-02-01,136.533,2012,2,16114.908333333333,18490.333333333332,63549.166666666664,3.933333333333333,5.033333333333333,205.1
2012-03-01,137.904,2012,3,16161.011666666667,18504.666666666668,63748.333333333336,3.9,4.266666666666667,205.7
2012-04-01,139.154,2012,4,16207.115,18519.0,63947.5,3.8362499999999997,3.5,206.3
2012-05-01,140.155,2012,5,16244.590333333334,18395.666666666668,64146.666666666664,3.7725,3.2666666666666666,206.5
2012-06-01,141.029,2012,6,16282.065666666665,18272.333333333332,64345.833333333336,3.70875,3.033333333333333,206.6
2012-07-01,141.669,2012,7,16319.541,18149.0,64545.0,3.645,2.8,206.2
2012-08-01,142.279,2012,8,16353.167,18079.0,64744.166666666664,3.58125,2.6999999999999997,205.5
2012-09-01,142.908,2012,9,16386.793,18009.0,64943.333333333336,3.5175,2.6,206.6
2012-10-01,143.6,2012,10,16420.419,17939.0,65142.5,3.4537500000000003,2.5,205.5
2012-11-01,144.585,2012,11,16496.342333333334,18112.333333333332,65341.666666666664,3.39,3.5666666666666664,205.6
2012-12-01,145.503,2012,12,16572.265666666666,18285.666666666668,65540.83333333333,3.5011111111111113,4.633333333333333,206.4
2013-01-01,146.827,2013,1,16648.189,18459.0,65740.0,3.6122222222222224,5.7,208.4
2013-02-01,147.785,2013,2,16675.021666666667,18361.0,65670.0,3.723333333333333,4.433333333333334,209.1
2013-03-01,149.963,2013,3,16701.854333333333,18263.0,65600.0,3.8344444444444443,3.1666666666666665,209.8
2013-04-01,151.519,2013,4,16728.687,18165.0,65530.0,3.9455555555555555,1.9,210.7
2013-05-01,152.85,2013,5,16803.737333333334,18169.0,65460.0,4.056666666666667,3.0999999999999996,209.5
2013-06-01,154.199,2013,6,16878.787666666667,18173.0,65390.0,4.167777777777777,4.3,208.8
2013-07-01,155.604,2013,7,16953.838,18177.0,65320.0,4.278888888888889,5.5,208.3
2013-08-01,156.965,2013,8,17033.231666666667,18147.0,65250.0,4.39,5.566666666666666,208.9
2013-09-01,158.227,2013,9,17112.625333333333,18117.0,65180.0,4.378888888888889,5.633333333333334,208.9
2013-10-01,159.242,2013,10,17192.019,18087.0,65110.0,4.3677777777777775,5.7,209.3
2013-11-01,160.074,2013,11,17193.925333333333,18209.0,65040.0,4.3566666666666665,3.833333333333333,209.8
2013-12-01,160.994,2013,12,17195.83166666667,18331.0,64970.0,4.345555555555555,1.9666666666666663,209.8
2014-01-01,161.927,2014,1,17197.738,18453.0,64900.0,4.334444444444444,0.1,211.7
2014-02-01,162.526,2014,2,17304.661333333333,18375.0,65192.5,4.323333333333333,2.6333333333333337,212.7
2014-03-01,163.086,2014,3,17411.58466666667,18297.0,65485.0,4.312222222222222,5.166666666666667,213.4
2014-04-01,163.393,2014,4,17518.508,18219.0,65777.5,4.301111111111111,7.7,213.6
